Date,Value
2017-06-30,4.98
2017-05-31,5.07
2017-04-30,5.04
2017-03-31,4.95
2017-02-28,6.1
2017-01-31,6.28
2016-12-31,5.16
2016-11-30,4.54
2016-10-31,4.01
2016-09-30,3.96
2016-08-31,4.25
2016-07-31,4.3
2016-06-30,4.04
2016-05-31,3.99
2016-04-30,4.02
2016-03-31,4.09
2016-02-29,4.79
2016-01-31,5.09
2015-12-31,5.81
2015-11-30,5.87
2015-10-31,6.01
2015-09-30,6.49
2015-08-31,6.66
2015-07-31,6.68
2015-06-30,7.3
2015-05-31,7.37
2015-04-30,7.39
2015-03-31,9.29
2015-02-28,9.29
2015-01-31,9.5
2014-12-31,10.45
2014-11-30,10.16
2014-10-31,10.4
2014-09-30,10.4
2014-08-31,10.38
2014-07-31,9.4
2014-06-30,10.52
2014-05-31,10.64
2014-04-30,10.79
2014-03-31,10.69
2014-02-28,10.83
2014-01-31,10.9
2013-12-31,10.99
2013-11-30,10.96
2013-10-31,10.93
2013-09-30,10.96
2013-08-31,10.97
2013-07-31,10.98
2013-06-30,11.32
2013-05-31,11.41
2013-04-30,11.64
2013-03-31,11.36
2013-02-28,11.36
2013-01-31,11.39
2012-12-31,11.64
2012-11-30,11.64
2012-10-31,11.57
2012-09-30,11.38
2012-08-31,11.4
2012-07-31,11.38
2012-06-30,12.56
2012-05-31,12.57
2012-04-30,12.57
2012-03-31,12.51
2012-02-29,12.22
2012-01-31,12.33
2011-12-31,12.11
2011-11-30,12.02
2011-10-31,12.11
2011-09-30,11.11
2011-08-31,11.11
2011-07-31,11.2
2011-06-30,10.0
2011-05-31,10.02
2011-04-30,10.03
2011-03-31,9.12
2011-02-28,9.14
2011-01-31,9.19
2010-12-31,8.73
2010-11-30,8.71
2010-10-31,8.64
2010-09-30,8.49
2010-08-31,8.57
2010-07-31,8.48
2010-06-30,8.06
2010-05-31,7.87
2010-04-30,8.35
2010-03-31,7.59
2010-02-28,7.59
2010-01-31,7.59
2009-12-31,6.45
2009-11-30,6.45
2009-10-31,6.45
2009-09-30,6.18
2009-08-31,6.18
2009-07-31,6.79
2009-06-30,8.6
2009-05-31,8.6
2009-04-30,8.6
2009-03-31,11.47
2009-02-28,14.47
2009-01-31,16.02
2008-12-31,16.02
2008-11-30,16.02
2008-10-31,16.02
2008-09-30,14.36
2008-08-31,14.36
2008-07-31,14.36
2008-06-30,11.9
2008-05-31,11.9
2008-04-30,11.9
2008-03-31,10.27
2008-02-29,10.27
2008-01-31,10.27
2007-12-31,8.56
2007-11-30,8.56
2007-10-31,8.56
2007-09-30,7.79
2007-08-31,7.79
2007-07-31,7.79
2007-06-30,7.83
2007-05-31,7.83
2007-04-30,7.83
2007-03-31,8.39
2007-02-28,8.39
2007-01-31,8.39
2006-12-31,8.65
2006-11-30,8.65
2006-10-31,8.65
2006-09-30,8.4
2006-08-31,8.4
2006-07-31,8.4
2006-06-30,8.14
2006-05-31,8.14
2006-04-30,8.14
2006-03-31,7.66
2006-02-28,7.66
2006-01-31,7.66
2005-12-31,6.96
2005-11-30,6.96
2005-10-31,6.96
2005-09-30,6.13
2005-08-31,6.13
2005-07-31,6.13
2005-06-30,5.51
2005-05-31,5.51
2005-04-30,5.51
2005-03-31,5.06
2005-02-28,5.06
2005-01-31,5.06
2004-12-31,4.34
2004-11-30,4.34
2004-10-31,4.34
2004-09-30,3.81
2004-08-31,3.81
2004-07-31,3.81
2004-06-30,3.48
2004-05-31,3.48
2004-04-30,3.48
2004-03-31,3.39
2004-02-29,3.39
2004-01-31,3.39
2003-12-31,3.6
2003-11-30,3.6
2003-10-31,3.6
2003-09-30,3.61
2003-08-31,3.61
2003-07-31,3.61
2003-06-30,3.58
2003-05-31,3.58
2003-04-30,3.58
2003-03-31,3.17
2003-02-28,3.15
2003-01-31,3.15
2002-12-31,2.81
2002-11-30,2.78
2002-10-31,2.78
2002-09-30,2.53
2002-08-31,2.52
2002-07-31,2.52
2002-06-30,2.56
2002-05-31,2.56
2002-04-30,2.56
2002-03-31,2.79
2002-02-28,2.79
2002-01-31,2.79
2001-12-31,3.22
2001-11-30,3.24
2001-10-31,3.24
2001-09-30,3.78
2001-08-31,3.78
2001-07-31,3.78
2001-06-30,4.26
2001-05-31,4.26
2001-04-30,4.26
2001-03-31,4.22
2001-02-28,4.22
2001-01-31,4.22
2000-12-31,3.93
2000-11-30,3.93
2000-10-31,3.93
2000-09-30,3.59
2000-08-31,3.59
2000-07-31,3.59
2000-06-30,3.24
2000-05-31,3.24
2000-04-30,3.24
2000-03-31,3.06
2000-02-29,3.06
2000-01-31,3.06
1999-12-31,2.04
1999-11-30,2.04
1999-10-31,2.04
1999-09-30,1.73
1999-08-31,1.73
1999-07-31,1.73
1999-06-30,1.67
1999-05-31,1.67
1999-04-30,1.67
1999-03-31,1.79
1999-02-28,1.79
1999-01-31,1.79
1998-12-31,1.91
1998-11-30,1.91
1998-10-31,1.91
1998-09-30,2.21
1998-08-31,2.21
1998-07-31,2.21
1998-06-30,2.37
1998-05-31,2.37
1998-04-30,2.37
1998-03-31,2.49
1998-02-28,2.49
1998-01-31,2.49
1997-12-31,2.45
1997-11-30,2.45
1997-10-31,2.45
1997-09-30,2.6
1997-08-31,2.6
1997-07-31,2.6
1997-06-30,2.73
1997-05-31,2.73
1997-04-30,2.73
1997-03-31,2.76
1997-02-28,2.94
1997-01-31,3.0
1996-12-31,2.94
1996-11-30,2.94
1996-10-31,2.94
1996-09-30,2.69
1996-08-31,2.69
1996-07-31,2.69
1996-06-30,2.69
1996-05-31,2.69
1996-04-30,2.69
1996-03-31,2.68
1996-02-29,2.68
1996-01-31,2.68
1995-12-31,2.69
1995-11-30,2.69
1995-10-31,2.82
1995-09-30,2.77
1995-08-31,2.77
1995-07-31,2.77
1995-06-30,2.69
1995-05-31,2.69
1995-04-30,2.69
1995-03-31,2.59
1995-02-28,2.59
1995-01-31,2.59
1994-12-31,2.44
1994-11-30,2.44
1994-10-31,2.44
1994-09-30,2.35
1994-08-31,2.35
1994-07-31,2.35
1994-06-30,2.24
1994-05-31,2.24
1994-04-30,2.24
1994-03-31,2.22
1994-02-28,2.22
1994-01-31,2.22
1993-12-31,2.54
1993-11-30,2.54
1993-10-31,2.54
1993-09-30,2.55
1993-08-31,2.55
1993-07-31,2.55
1993-06-30,2.6
1993-05-31,2.6
1993-04-30,2.61
1993-03-31,2.7
1993-02-28,2.7
1993-01-31,2.7
1992-12-31,2.35
1992-11-30,2.35
1992-10-31,2.35
1992-09-30,2.39
1992-08-31,2.39
1992-07-31,2.39
1992-06-30,2.34
1992-05-31,2.34
1992-04-30,2.34
1992-03-31,2.38
1992-02-29,2.38
1992-01-31,2.38
1991-12-31,2.54
1991-11-30,2.54
1991-10-31,2.54
1991-09-30,3.12
1991-08-31,3.12
1991-07-31,3.12
1991-06-30,3.41
1991-05-31,3.41
1991-04-30,3.41
1991-03-31,2.96
1991-02-28,2.96
1991-01-31,2.96
1990-12-31,2.38
1990-11-30,2.38
1990-10-31,2.38
1990-09-30,1.92
1990-08-31,1.92
1990-07-31,1.92
1990-06-30,2.11
1990-05-31,2.11
1990-04-30,2.11
1990-03-31,1.73
1990-02-28,1.73
1990-01-31,1.73
1989-12-31,1.66
1989-11-30,1.66
1989-10-31,1.66
1989-09-30,1.58
1989-08-31,1.58
1989-07-31,1.58
1989-06-30,1.44
1989-05-31,1.44
1989-04-30,1.44
1989-03-31,1.67
1989-02-28,1.67
1989-01-31,1.67
1988-12-31,1.79
1988-11-30,1.79
1988-10-31,1.79
1988-09-30,1.89
1988-08-31,1.89
1988-07-31,1.89
1988-06-30,1.92
1988-05-31,1.92
1988-04-30,1.92
1988-03-31,2.0
1988-02-29,2.0
1988-01-31,2.0
1987-12-31,2.13
1987-11-30,2.13
1987-10-31,2.13
1987-09-30,2.13
1987-08-31,2.13
1987-07-31,2.13
1987-06-30,2.13
1987-05-31,2.13
1987-04-30,2.13
1987-03-31,2.13
1987-02-28,2.13
1987-01-31,2.13
1986-12-31,3.44
1986-11-30,3.44
1986-10-31,3.44
1986-09-30,3.44
1986-08-31,3.44
1986-07-31,3.44
1986-06-30,3.44
1986-05-31,3.44
1986-04-30,3.44
1986-03-31,3.44
1986-02-28,3.44
1986-01-31,3.44
1985-12-31,3.81
1985-11-30,3.81
1985-10-31,3.81
1985-09-30,3.81
1985-08-31,3.81
1985-07-31,3.81
1985-06-30,3.81
1985-05-31,3.81
1985-04-30,3.81
1985-03-31,3.81
1985-02-28,3.81
1985-01-31,3.81
