_id,issuance_agency_id,uen,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,registration_incorporation_date,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,no_of_charges,primary_ssic_code,primary_ssic_description,primary_user_described_activity,secondary_ssic_code,secondary_ssic_description,secondary_user_described_activity,no_of_officers,former_entity_name1,former_entity_name2,former_entity_name3,former_entity_name4,former_entity_name5,former_entity_name6,former_entity_name7,former_entity_name8,former_entity_name9,former_entity_name10,former_entity_name11,former_entity_name12,former_entity_name13,former_entity_name14,former_entity_name15,paid_up_capital1_currency,paid_up_capital1_ordinary,paid_up_capital1_preference,paid_up_capital1_others,paid_up_capital2_currency,paid_up_capital2_ordinary,paid_up_capital2_preference,paid_up_capital2_others,paid_up_capital3_currency,paid_up_capital3_ordinary,paid_up_capital3_preference,paid_up_capital3_others,paid_up_capital4_currency,paid_up_capital4_ordinary,paid_up_capital4_preference,paid_up_capital4_others,paid_up_capital5_currency,paid_up_capital5_ordinary,paid_up_capital5_preference,paid_up_capital5_others,paid_up_capital6_currency,paid_up_capital6_ordinary,paid_up_capital6_preference,paid_up_capital6_others,paid_up_capital7_currency,paid_up_capital7_ordinary,paid_up_capital7_preference,paid_up_capital7_others,paid_up_capital8_currency,paid_up_capital8_ordinary,paid_up_capital8_preference,paid_up_capital8_others,paid_up_capital9_currency,paid_up_capital9_ordinary,paid_up_capital9_preference,paid_up_capital9_others,paid_up_capital10_currency,paid_up_capital10_ordinary,paid_up_capital10_preference,paid_up_capital10_others,uen_of_audit_firm1,name_of_audit_firm1,uen_of_audit_firm2,name_of_audit_firm2,uen_of_audit_firm3,name_of_audit_firm3,uen_of_audit_firm4,name_of_audit_firm4,uen_of_audit_firm5,name_of_audit_firm5
1,ACRA,53076775M,LEARNEX NETWORK,Business,Sole Proprietor,na,na,Live,2006-09-15T17:26:48,2008-09-13T00:00:00,LOCAL,418C,FERNVALE LINK,10,162,FERNVALE RIVERWALK,793418,na,na,na,na,0,85509,EDUCATIONAL SUPPORT SERVICES N.E.C. (EG TUITION MATCHING SERVICES),na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2,ACRA,201620746Z,LUSH CATERING PRIVATE LIMITED,Local Company,na,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,na,Live Company,2016-07-29T17:42:49,2016-07-29T00:00:00,LOCAL,11,JALAN SIAP,na,na,FUYONG ESTATE,678551,na,na,na,na,0,56201,FOOD CATERERS,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,SGD,99,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
3,ACRA,53004531A,LE POMMIER,Business,Sole Proprietor,na,na,Live,2003-09-29T11:58:01,2008-09-12T00:00:00,LOCAL,200,VICTORIA STREET,02,39,BUGIS JUNCTION,188021,na,na,na,na,0,47711,RETAIL SALE OF WEARING APPAREL FOR ADULTS,na,na,na,na,1,JEANZZ,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,ACRA,201607130M,LAF ENV PTE. LTD.,Local Company,na,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,na,Live Company,2016-03-18T13:20:28,2016-03-18T00:00:00,LOCAL,53,UBI AVENUE 1,05,56,PAYA UBI INDUSTRIAL PARK,408934,na,na,2017-08-31T00:00:00,2017-02-28T00:00:00,0,46900,GENERAL WHOLESALE TRADE (INCLUDING GENERAL IMPORTERS AND EXPORTERS),na,28191,"MANUFACTURE AND REPAIR OF REFRIGERATING, AIR-CONDITIONING AND VENTILATING MACHINERY AND EQUIPMENT EXCEPT HOUSEHOLD REFRIGERATORS",na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,SGD,10000,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
5,ACRA,200201733N,LASER-TECHNOLOGY (SINGAPORE) PRIVATE LIMITED,Local Company,na,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,na,Live Company,2002-03-05T00:00:00,2008-09-12T00:00:00,LOCAL,1,COLEMAN STREET,05,05,THE ADELPHI,179803,na,na,2016-09-30T00:00:00,2016-03-31T00:00:00,0,30110,"BUILDING AND REPAIRING OF SHIPS, TANKERS AND OTHER OCEAN-GOING VESSELS (INCLUDING CONVERSION OF SHIPS INTO OFF-SHORE STRUCTURES)",MARINE SHIP REPAIR,71129,ENGINEERING DESIGN AND CONSULTANCY ACTIVITIES N.E.C.,"ENGINEERING ACTIVITIES,PETROL & CHEMICAL PLANT,TRADING,SHIP CHANDLER",4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,SGD,50000,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6,ACRA,53031039B,LIM YOCK ENG,Business,Sole Proprietor,na,na,Live,2004-10-13T13:47:16,2008-09-12T00:00:00,LOCAL,426,BUKIT BATOK WEST AVENUE 2,07,119,na,650426,na,na,na,na,0,49239,FREIGHT LAND TRANSPORT N.E.C. (EG RENTAL AND LEASING OF LORRIES AND TRUCKS WITH OPERATOR),na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
7,ACRA,201014355H,LEVEL EIGHT PTE. LTD.,Local Company,na,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,na,Live Company,2010-07-07T09:39:20,2010-07-08T00:00:00,LOCAL,20,PATERSON ROAD,04,01,PATERSON LINC,238509,na,na,2016-04-12T00:00:00,2015-06-30T00:00:00,0,46900,GENERAL WHOLESALE TRADE (INCLUDING GENERAL IMPORTERS AND EXPORTERS),"INCLUDING GRAPHIC DESIGN, CREATIVE SVCS & ADVERTISING, TRAINING & CONSULTANCY",70203,HOTEL MANAGEMENT CONSULTANCY SERVICES,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,SGD,3,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
8,ACRA,201403028Z,LONDON PROPERTIES PTE. LIMITED,Local Company,na,PRIVATE COMPANY LIMITED BY SHARES,na,Live Company,2014-01-30T16:42:49,2014-01-31T00:00:00,LOCAL,77,HIGH STREET,06,04,HIGH STREET PLAZA,179433,na,na,2017-03-03T00:00:00,2016-03-31T00:00:00,2,64202,OTHER HOLDING COMPANIES,na,na,na,na,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,SGD,1000,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
9,ACRA,53200250D,LOJAK ROJAK,Business,Sole Proprietor,na,na,Live,2011-09-27T12:09:39,2011-09-28T00:00:00,LOCAL,3,LORONG LIPUT,01,18,HOLLAND VILLAGE CORNER,277725,na,na,na,na,0,56201,FOOD CATERERS,SUPPLYING OF ROJAK PASTE AND SELLING OF ROJAK AT THE STALL,na,na,SUPPLYING OF ROJAK PASTE AND SELLING OF ROJAK AT THE STALL,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10,ACRA,201408050M,LOTUS FIVE STAR PTE. LTD.,Local Company,na,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,na,Live Company,2014-03-20T16:32:01,2014-03-21T00:00:00,LOCAL,6001,BEACH ROAD,04,00,GOLDEN MILE TOWER,199589,na,na,2017-08-30T00:00:00,2017-02-28T00:00:00,0,59131,MOTION PICTURE/MOVIE DISTRIBUTION,na,59141,CINEMA SERVICES,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,SGD,120000,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
